,Player,Tm,Yr2019_20
458,Miye Oni,UTA,"$898,310 "
459,Dewan Hernandez,TOR,"$898,310 "
460,Terence Davis,TOR,"$898,310 "
461,Wenyen Gabriel,POR,"$898,310 "
462,Naz Reid,MIN,"$898,310 "
463,Jalen McDaniels,CHO,"$898,310 "
464,Caleb Martin,CHO,"$898,310 "
465,Shaquille Harrison,CHI,"$898,310 "
466,Javonte Green,BOS,"$898,310 "
467,Damion Lee,GSW,"$842,327 "
468,Khyri Thomas,DET,"$838,464 "
469,DeMarre Carroll,HOU,"$811,447 "
470,Michael Kidd-Gilchrist,DAL,"$810,763 "
471,Marquese Chriss,GSW,"$758,804 "
472,Juwan Morgan,UTA,"$746,054 "
473,Patrick Patterson,OKC,"$737,067 "
474,Reggie Jackson,LAC,"$734,025 "
475,Alfonzo McKinnie,CLE,"$708,871 "
476,Gary Clark,HOU,"$708,426 "
477,Jeff Green,HOU,"$695,526 "
478,Cole Aldrich,MIN,"$685,340 "
479,Shaun Livingston,GSW,"$666,667 "
480,Marquese Chriss,GSW,"$654,468 "
481,Timothé Luwawu-Cabarrot,BRK,"$654,468 "
482,Rayjon Tucker,UTA,"$578,573 "
483,Chris Clemons,HOU,"$568,422 "
484,Gary Clark,ORL,"$555,409 "
485,Brandon Goodwin,ATL,"$522,738 "
486,Dion Waiters,LAL,"$503,656 "
487,Ryan Anderson,HOU,"$500,000 "
488,Anžejs Pasečņiks,WAS,"$482,144 "
489,Troy Daniels,DEN,"$481,000 "
490,Chris Silva,MIA,"$466,918 "
491,Dakari Johnson,MEM,"$459,414 "
492,Iman Shumpert,BRK,"$419,443 "
493,Max Strus,BOS,"$415,414 "
494,Justin Robinson,WAS,"$395,866 "
495,Dean Wade,CLE,"$375,000 "
496,Ivan Rabb,MEM,"$371,758 "
497,Norvel Pelle,PHI,"$350,189 "
498,Ky Bowman,GSW,"$350,189 "
499,Juan Toscano-Anderson,GSW,"$350,189 "
500,A.J. Hammons,MIA,"$350,087 "
501,Festus Ezeli,POR,"$333,333 "
502,C.J. Watson,ORL,"$333,333 "
503,Anthony Tolliver,MEM,"$289,803 "
504,Joakim Noah,LAC,"$289,803 "
505,Corey Brewer,SAC,"$289,803 "
506,J.R. Smith,LAL,"$289,803 "
507,Luc Mbah a Moute,HOU,"$289,803 "
508,Jamal Crawford,BRK,"$289,803 "
509,Lance Thomas,BRK,"$262,152 "
510,Stanton Kidd,UTA,"$250,000 "
511,Jordan Bell,CLE,"$250,000 "
512,Tyler Zeller,SAS,"$245,686 "
513,Trey Burke,DAL,"$229,220 "
514,Joe Johnson,DET,"$220,000 "
515,Tyler Johnson,BRK,"$212,753 "
516,Jemerrio Jones,WAS,"$199,000 "
517,Jontay Porter,MEM,"$197,933 "
518,Justin Anderson,BRK,"$196,288 "
519,Jerian Grant,WAS,"$196,288 "
520,Cameron Payne,PHO,"$196,288 "
521,Timothé Luwawu-Cabarrot,BRK,"$189,702 "
522,Dragan Bender,GSW,"$189,702 "
523,Mychal Mulder,GSW,"$187,782 "
524,Sindarius Thornwell,NOP,"$183,115 "
525,Justin Patton,DET,"$183,115 "
526,PJ Dozier,DEN,"$183,115 "
527,Alfonzo McKinnie,CLE,"$183,114 "
528,Gary Clark,ORL,"$163,356 "
529,Jarrod Uthoff,WAS,"$163,356 "
530,Jaylen Adams,POR,"$163,356 "
531,Joe Chealey,CHO,"$163,356 "
532,Luguentz Dort,OKC,"$155,647 "
533,Cameron Payne,TOR,"$150,000 "
534,Jeff Green,HOU,"$144,901 "
535,Anthony Tolliver,MEM,"$144,901 "
536,Joakim Noah,LAC,"$144,901 "
537,Troy Williams,HOU,"$122,741 "
538,Johnathan Williams,WAS,"$106,181 "
539,Tyler Cook,CLE,"$101,504 "
540,Donta Hall,DET,"$101,504 "
541,Donta Hall,BRK,"$101,504 "
542,Yante Maten,MIA,"$100,000 "
543,Jaylen Adams,ATL,"$100,000 "
544,Justin Anderson,BRK,"$98,144 "
545,Demetrius Jackson,BOS,"$92,857 "
546,Chasson Randle,GSW,"$91,557 "
547,Jeremy Pargo,GSW,"$91,557 "
548,Jonah Bolden,PHO,"$81,678 "
549,Josh Magette,ORL,"$81,678 "
550,Jarrod Uthoff,MEM,"$81,678 "
551,Dusty Hannahs,MEM,"$81,678 "
552,Derrick Walton,DET,"$81,678 "
553,Sheldon Mac,CLE,"$81,678 "
554,J.P. Macura,CLE,"$81,678 "
555,Mychal Mulder,GSW,"$50,752 "
556,Eric Mika,SAC,"$50,752 "
557,Zach Norvell,GSW,"$50,752 "
558,Malik Newman,CLE,"$50,752 "
559,Marques Bolden,CLE,"$50,752 "
560,Sir'Dominic Pointer,CLE,"$50,752 "
561,Paul Watson,ATL,"$50,752 "
562,Tyler Cook,CLE,"$50,000 "
563,William Howard,UTA,"$50,000 "
564,Isaiah Taylor,TOR,"$50,000 "
565,Tyler Lydon,SAC,"$50,000 "
566,Hollis Thompson,SAC,"$50,000 "
567,Tyler Ulis,SAC,"$50,000 "
