,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
99,Dennis Schröder,OKC,PG,15500000.0,12611.88,26,16.7,1229.0,65.0,1999.0,262.0,45.0,14.0
429,Keldon Johnson,SAS,SF,1950600.0,12666.23,20,19.1,154.0,17.0,301.0,15.0,14.0,2.0
294,Thon Maker,DET,C,3569643.0,12703.36,22,13.7,281.0,60.0,776.0,43.0,25.0,39.0
59,Zach LaVine,CHI,SG,19500000.0,12745.1,24,19.4,1530.0,60.0,2085.0,254.0,88.0,28.0
431,Robert Williams,BOS,C,1937520.0,12916.8,22,23.1,150.0,29.0,388.0,27.0,22.0,35.0
198,Thomas Bryant,WAS,C,7936508.0,13032.03,22,21.1,609.0,46.0,1147.0,83.0,25.0,49.0
420,Edmond Sumner,IND,PG,2000000.0,13157.89,24,10.1,152.0,31.0,447.0,55.0,15.0,9.0
524,Isaiah Hartenstein,HOU,C,1416852.0,13241.61,21,18.6,107.0,23.0,266.0,18.0,9.0,12.0
85,Bojan Bogdanović,UTA,SF,17000000.0,13333.33,30,15.6,1275.0,63.0,2083.0,131.0,34.0,7.0
260,Robin Lopez,MIL,C,4767000.0,13352.94,31,10.2,357.0,66.0,958.0,45.0,10.0,45.0
164,Josh Richardson,PHI,SG,10100000.0,13377.48,26,12.0,755.0,55.0,1693.0,162.0,52.0,36.0
