player,tm,pos,pts,g,mp,ast,stl,blk,yr2019_20,avg_cost_per_pt,Salary Per Minute
Timothé Luwawu-Cabarrot,BRK,SG,365,47,853,29,18,7,654468,1793.06,767.25
Rayjon Tucker,UTA,SG,62,20,161,5,1,1,578573,9331.82,3593.62
Chris Clemons,HOU,SG,161,33,291,27,9,6,568422,3530.57,1953.34
Brandon Goodwin,ATL,PG,206,34,430,51,12,4,522738,2537.56,1215.67
Anžejs Pasečņiks,WAS,C,156,27,437,18,9,12,482144,3090.67,1103.3
Chris Silva,MIA,PF,133,44,346,23,9,21,466918,3510.66,1349.47
Dakari Johnson,,,,,,,,,459414,,
Iman Shumpert,BRK,SG,54,13,241,12,12,2,419443,7767.46,1740.43
Max Strus,CHI,SG,5,2,6,0,0,0,415414,83082.8,69235.67
Justin Robinson,WAS,PG,13,9,49,7,0,1,395866,30451.23,8078.9
Dean Wade,CLE,PF,20,12,71,2,2,4,375000,18750,5281.69
Ivan Rabb,,,,,,,,,371758,,
Norvel Pelle,PHI,C,57,24,232,8,3,31,350189,6143.67,1509.44
Ky Bowman,GSW,PG,335,45,1015,131,44,10,350189,1045.34,345.01
Juan Toscano-Anderson,GSW,SF,69,13,272,26,13,5,350189,5075.2,1287.46
A.J. Hammons,,,,,,,,,350087,,
Festus Ezeli,,,,,,,,,333333,,
C.J. Watson,,,,,,,,,333333,,
Corey Brewer,SAC,SG,5,5,33,2,4,0,289803,57960.6,8781.91
Luc Mbah a Moute,HOU,PF,5,3,25,0,2,0,289803,57960.6,11592.12
Jamal Crawford,BRK,SG,5,1,6,3,0,0,289803,57960.6,48300.5
Lance Thomas,BRK,SF,24,7,98,6,0,0,262152,10923,2675.02
Stanton Kidd,UTA,SF,0,4,15,1,0,0,250000,inf,16666.67
Tyler Zeller,SAS,C,2,2,4,0,0,0,245686,122843,61421.5
Joe Johnson,,,,,,,,,220000,,
Jemerrio Jones,,,,,,,,,199000,,
Jontay Porter,,,,,,,,,197933,,
Justin Anderson,BRK,SF,28,10,107,8,0,6,196288,7010.29,1834.47
Jerian Grant,WAS,PG,27,6,80,9,1,1,196288,7269.93,2453.6
Cameron Payne,PHO,PG,87,8,183,24,8,2,196288,2256.18,1072.61
Mychal Mulder,GSW,SG,77,7,204,8,2,1,187782,2438.73,920.5
Sindarius Thornwell,NOP,SG,16,2,35,4,1,1,183115,11444.69,5231.86
PJ Dozier,DEN,PG,168,29,412,63,14,6,183115,1089.97,444.45
Jarrod Uthoff,WAS,SF,15,3,39,0,0,0,163356,10890.4,4188.62
Jaylen Adams,,,,,,,,,163356,,
Joe Chealey,CHO,PG,2,4,33,1,4,0,163356,81678,4950.18
